model_id,budget,method,mapping_root,category,record_count,image_count,language_risk_mean,language_risk_standard_deviation_population,visual_risk_mean,visual_risk_standard_deviation_population,total_semantic_risk_mean,total_semantic_risk_standard_deviation_population,visual_gain_mean,visual_gain_standard_deviation_population
M2-low-seed-43101,low,M2,43101,replace_attribute,674,450,0.5047211758502761,0.2670920606124078,0.5000012426269426,0.019091194521463968,0.5047236611041611,0.26856569689617144,-2.485253885094925e-06,0.03818238904292793
M2-low-seed-43101,low,M2,43101,replace_object,1414,711,0.5241672973656036,0.2623836791104681,0.49937374369314963,0.015916124281973244,0.5229147847519029,0.2631257969889655,0.001252512613700749,0.03183224856394649
M2-low-seed-43101,low,M2,43101,replace_relation,1219,677,0.4630110740690907,0.24524326791218887,0.49987511655057465,0.013452127003084789,0.46276130717024,0.24744509376071594,0.0002497668988507996,0.026904254006169574
M2-low-seed-43101,low,M2,43101,swap_atribute,585,518,0.47720464312149813,0.11265259580151506,0.49992081306531244,0.007963690162874603,0.477046269252123,0.11213141055655043,0.00015837386937511645,0.015927380325749207
M2-low-seed-43101,low,M2,43101,swap_object,215,194,0.4889562677166353,0.10692826206960766,0.5000131343257801,0.009011856165461166,0.48898253636819544,0.10719281083745631,-2.6268651560200185e-05,0.018023712330922332
M3-low-seed-43101,low,M3,43101,replace_attribute,674,450,0.5056427773306476,0.2674176306748479,0.4989560428840212,0.02245739234001693,0.5035548630986899,0.2681368230624393,0.0020879142319576364,0.04491478468003386
M3-low-seed-43101,low,M3,43101,replace_object,1414,711,0.5187914672571203,0.25227673997081884,0.49976838675195046,0.018554317469262886,0.5183282407610211,0.2522752577868431,0.0004632264960990649,0.03710863493852577
M3-low-seed-43101,low,M3,43101,replace_relation,1219,677,0.4594451037235573,0.24745197327513002,0.500459498921602,0.01528939602053952,0.4603641015667614,0.24909535441335215,-0.0009189978432040491,0.03057879204107904
M3-low-seed-43101,low,M3,43101,swap_atribute,585,518,0.4719559832943049,0.11451650190540481,0.49970420788882,0.009532403991585652,0.4713643990719447,0.11406131109003448,0.0005915842223601375,0.0190648079831713
M3-low-seed-43101,low,M3,43101,swap_object,215,194,0.4883382752461198,0.10415193380526233,0.49899225537557934,0.008930198325716511,0.4863227859972784,0.10616988975549581,0.0020154892488413417,0.017860396651433023
M2-low-seed-43102,low,M2,43102,replace_attribute,674,450,0.5038343258651351,0.2629794616656753,0.5013582305570585,0.011323128737718442,0.5065507869792522,0.2640420388420729,-0.0027164611141170234,0.022646257475436887
M2-low-seed-43102,low,M2,43102,replace_object,1414,711,0.5269103588930641,0.250847220200967,0.4994224203479924,0.010341697467921851,0.5257551995890489,0.25117878515056086,0.0011551593040152448,0.0206833949358437
M2-low-seed-43102,low,M2,43102,replace_relation,1219,677,0.43929985261100407,0.25018159418693,0.4998138829852194,0.007859916697045602,0.4389276185814428,0.2504797568509339,0.0003722340295612695,0.015719833394091203
M2-low-seed-43102,low,M2,43102,swap_atribute,585,518,0.47685616965893346,0.1143783951362037,0.4999122570913391,0.005739787370984113,0.47668068384161166,0.11491234961271458,0.00017548581732180696,0.011479574741968226
M2-low-seed-43102,low,M2,43102,swap_object,215,194,0.49072827900939037,0.10742985213053131,0.4997602160497879,0.0053178323072562836,0.4902487111089662,0.10776767980860709,0.0004795679004241776,0.010635664614512569
M3-low-seed-43102,low,M3,43102,replace_attribute,674,450,0.5103920271413057,0.2636010874250054,0.5014774866526569,0.02756078644967343,0.5133470004466195,0.26438192926764864,-0.0029549733053138337,0.05512157289934686
M3-low-seed-43102,low,M3,43102,replace_object,1414,711,0.5240678990993074,0.2447482097483609,0.5014743067109781,0.025966836611074257,0.5270165125212639,0.25274741530316447,-0.0029486134219563896,0.051933673222148515
M3-low-seed-43102,low,M3,43102,replace_relation,1219,677,0.4449616630915898,0.24831922462998882,0.4999496563183442,0.018574014542556118,0.4448609757282783,0.25075359666045843,0.00010068736331152075,0.037148029085112236
M3-low-seed-43102,low,M3,43102,swap_atribute,585,518,0.4752758276233514,0.10841388586626934,0.4998363997815065,0.01317345547259738,0.4749486271863644,0.1098740039665519,0.0003272004369870035,0.026346910945194764
M3-low-seed-43102,low,M3,43102,swap_object,215,194,0.48815487773677646,0.09774013177483432,0.49945579637424253,0.01289965937029759,0.4870664704852615,0.1023431531299928,0.0010884072515149337,0.025799318740595177
M2-low-seed-43103,low,M2,43103,replace_attribute,674,450,0.5037683239460222,0.26581601897601115,0.4994066177804716,0.017767972486531725,0.5025815595069653,0.2677729594277872,0.0011867644390568504,0.03553594497306345
M2-low-seed-43103,low,M2,43103,replace_object,1414,711,0.5249478572585716,0.26215898575176266,0.5004882667244743,0.014714142933305996,0.5259243907075203,0.26270610485305956,-0.0009765334489486229,0.02942828586661199
M2-low-seed-43103,low,M2,43103,replace_relation,1219,677,0.46304210699845333,0.2456503933225278,0.5000435979600791,0.01377886844658575,0.4631293029186118,0.24769068187858959,-8.71959201584457e-05,0.027557736893171505
M2-low-seed-43103,low,M2,43103,swap_atribute,585,518,0.47461514413574313,0.11479517879720794,0.5000788427626082,0.010163110860104033,0.47477282966095946,0.11506778748789052,-0.0001576855252162767,0.02032622172020807
M2-low-seed-43103,low,M2,43103,swap_object,215,194,0.4926610835185914,0.11278578413222091,0.5004711738978043,0.009563670314418873,0.4936034313141998,0.11347586756401622,-0.0009423477956084813,0.019127340628837742
M3-low-seed-43103,low,M3,43103,replace_attribute,674,450,0.5021106496971436,0.2563924828808397,0.5017588628973034,0.0196307899044844,0.5056283754917503,0.2566732401642874,-0.0035177257946067794,0.0392615798089688
M3-low-seed-43103,low,M3,43103,replace_object,1414,711,0.521029104741506,0.23926749776798698,0.5000572483668884,0.020804886196506434,0.5211436014752827,0.24018691360348818,-0.00011449673377671719,0.04160977239301287
M3-low-seed-43103,low,M3,43103,replace_relation,1219,677,0.44673479001835187,0.2460316590733857,0.49913528196260676,0.012226095113820185,0.44500535394356544,0.24716227013045058,0.0017294360747864806,0.02445219022764037
M3-low-seed-43103,low,M3,43103,swap_atribute,585,518,0.47831505517740075,0.10511709661675536,0.5000848973328862,0.00928935576253379,0.47848484984317324,0.10506178149960493,-0.00016979466577248428,0.01857871152506758
M3-low-seed-43103,low,M3,43103,swap_object,215,194,0.4861777982772074,0.09842182057973187,0.5004241328183686,0.008810466991470063,0.48702606391394476,0.09703155621799141,-0.0008482656367373267,0.017620933982940127
M2-current-seed-43101,current,M2,43101,replace_attribute,674,450,0.5079756778936931,0.2570870673683032,0.50028668595954,0.019263100873714495,0.508549049812773,0.2567794956379152,-0.0005733719190799223,0.03852620174742899
M2-current-seed-43101,current,M2,43101,replace_object,1414,711,0.528874772958963,0.2501537290123208,0.4986123964120389,0.015392901353330293,0.5260995657830407,0.24859835044096468,0.002775207175922263,0.030785802706660585
M2-current-seed-43101,current,M2,43101,replace_relation,1219,677,0.44686525619655576,0.24438035350514958,0.5005821896734483,0.014084204211782744,0.44802963554345226,0.24573591879046308,-0.0011643793468965084,0.028168408423565484
