model_id,budget,model_group,method,mapping_root,experiment_seed,coordinate_count,total_coordinate_budget,archive_bits,external_selection_bits,external_hyperparameter_bits,total_description_bits,empirical_language_risk,empirical_visual_risk,empirical_total_semantic_risk,empirical_visual_gain,maximum_identity_error,certified,invalid_for_formal_certification_reasons,comparison_claim,result_source,result_path,exploratory_language_radius,exploratory_visual_radius,exploratory_total_semantic_radius,exploratory_hoeffding_radius
M2-low-seed-43101,low,M2,M2,43101,43101,2048,2048,5664,5,0,5669,0.49425332538981054,0.499789702609343,0.49383273060849653,0.00042059478131398664,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,new_budget_run,/home/lizhaohui/lzq/minimind-v-stage2-rerun-20260721/experiments/runs/phase3_risk_v1/M2-low-seed-43101,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M3-low-seed-43101,low,M3,M3,43101,43101,2048,2048,3488,5,0,3493,0.49163684960521375,0.49983959544602863,0.49131604049727096,0.00032080910794278977,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,new_budget_run,/home/lizhaohui/lzq/minimind-v-stage2-rerun-20260721/experiments/runs/phase3_risk_v1/M3-low-seed-43101,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M2-low-seed-43102,low,M2,M2,43102,43102,2048,2048,5864,5,0,5869,0.49278853825318286,0.4998391186024959,0.49246677545817463,0.0003217627950081568,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,new_budget_run,/home/lizhaohui/lzq/minimind-v-stage2-rerun-20260721/experiments/runs/phase3_risk_v1/M2-low-seed-43102,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M3-low-seed-43102,low,M3,M3,43102,43102,2048,2048,3488,5,0,3493,0.4911341324470968,0.5004806061435012,0.4920953447340993,-0.0009612122870025113,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,new_budget_run,/home/lizhaohui/lzq/minimind-v-stage2-rerun-20260721/experiments/runs/phase3_risk_v1/M3-low-seed-43102,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M2-low-seed-43103,low,M2,M2,43103,43103,2048,2048,5632,5,0,5637,0.49504716083137806,0.50003561334821,0.49511838752779797,-7.122669641990772e-05,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,new_budget_run,/home/lizhaohui/lzq/minimind-v-stage2-rerun-20260721/experiments/runs/phase3_risk_v1/M2-low-seed-43103,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M3-low-seed-43103,low,M3,M3,43103,43103,2048,2048,3552,5,0,3557,0.4909219633192906,0.5001794443642213,0.4912808520477335,-0.0003588887284427824,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,new_budget_run,/home/lizhaohui/lzq/minimind-v-stage2-rerun-20260721/experiments/runs/phase3_risk_v1/M3-low-seed-43103,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M2-current-seed-43101,current,M2,M2,43101,43101,4096,4096,9200,5,0,9205,0.49209737528362635,0.499594243319541,0.4912858619227083,0.0008115133609180617,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,frozen_existing_current_v6_backfill,/home/lizhaohui/lzq/minimind-v-stage2/experiments/phase3_risk_v1/results/v6_backfill/model_summaries/M2-root-43101.json,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M3-current-seed-43101,current,M3,M3,43101,43101,4096,4096,6432,5,0,6437,0.4905732800414003,0.5008615994602961,0.4922964789619923,-0.0017231989205921015,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,frozen_existing_current_v6_backfill,/home/lizhaohui/lzq/minimind-v-stage2/experiments/phase3_risk_v1/results/v6_backfill/model_summaries/M3-root-43101.json,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M2-current-seed-43102,current,M2,M2,43102,43102,4096,4096,10368,5,0,10373,0.49095592414323524,0.4996864039305178,0.49032873200427074,0.0006271921389645035,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,frozen_existing_current_v6_backfill,/home/lizhaohui/lzq/minimind-v-stage2/experiments/phase3_risk_v1/results/v6_backfill/model_summaries/M2-root-43102.json,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
M3-current-seed-43102,current,M3,M3,43102,43102,4096,4096,7824,5,0,7829,0.4992658015079927,0.5002183830381336,0.49970256758425996,-0.00043676607626722057,2.220446049250313e-16,False,post_hoc_metric_design|coupled_mismatch_donors,equal_coordinate_budget_not_equal_description_length,frozen_existing_current_v6_backfill,/home/lizhaohui/lzq/minimind-v-stage2/experiments/phase3_risk_v1/results/v6_backfill/model_summaries/M3-root-43102.json,0.04949202577228693,0.04949202577228693,0.04681240596243551,0.04949202577228693
