model_id,method,mapping_root,experiment_seed,budget,record_count,image_count,empirical_language_risk,language_risk_standard_deviation,language_risk_median,language_risk_p25,language_risk_p75,empirical_visual_risk,visual_risk_standard_deviation,visual_risk_median,visual_risk_p25,visual_risk_p75,empirical_visual_gain,empirical_total_semantic_risk,total_semantic_risk_standard_deviation,total_semantic_risk_median,total_semantic_risk_p25,total_semantic_risk_p75,maximum_identity_error,exploratory_language_radius,exploratory_language_upper,exploratory_visual_radius,exploratory_visual_upper,exploratory_visual_upper_below_0_5,formally_certified_visual_risk_below_0_5,certified,invalid_for_formal_certification_reasons
M0-root-43101,M0,43101,43101,legacy,4107,1343,0.5014530806503841,0.15507093881476966,0.4964138627051492,0.4105904970544185,0.5873496571711438,0.5,2.1405905717164076e-18,0.5,0.5,0.5,2.0046401022360795e-19,0.5014530806503841,0.15507093881476966,0.4964138627051492,0.4105904970544185,0.5873496571711438,1.1102230246251565e-16,0.047229515753054785,0.5486825964034389,0.047229515753054785,0.5472295157530548,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M0-root-43102,M0,43102,43102,legacy,4107,1343,0.4938016374900905,0.15489726251944225,0.49179971069623596,0.40109327427795893,0.5819878573004184,0.5,3.0249939168982926e-18,0.5,0.5,0.5,1.0971415516087928e-19,0.4938016374900905,0.15489726251944225,0.49179971069623596,0.40109327427795893,0.5819878573004184,1.1102230246251565e-16,0.047229515753054785,0.5410311532431453,0.047229515753054785,0.5472295157530548,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M0-root-43103,M0,43103,43103,legacy,4107,1343,0.4903788248420163,0.15759472579183922,0.48916862776071945,0.3957861508092861,0.5831971029372707,0.5,3.702077876632458e-18,0.5,0.5,0.5,1.4243944138814527e-19,0.4903788248420163,0.15759472579183922,0.48916862776071945,0.39578615080928614,0.5831971029372707,1.1102230246251565e-16,0.047229515753054785,0.5376083405950711,0.047229515753054785,0.5472295157530548,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M1-root-none,M1,,,legacy,4107,1343,0.4946532485230204,0.153787895517011,0.4889952962619186,0.4059903494333177,0.5779416815769859,0.49969495247944334,0.011580534110695737,0.4997262958306276,0.4938551892060641,0.505801328724542,0.0006100950411133227,0.494043153481907,0.15350477357835002,0.48964059102184576,0.40377197645482477,0.5784268694904364,2.220446049250313e-16,0.047229515753054785,0.5418827642760752,0.047229515753054785,0.5469244682324981,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M2-root-43101,M2,43101,43101,current,4107,1343,0.49209737528362635,0.14956290266147831,0.48853268928961846,0.40539951296949733,0.5788785280944544,0.499594243319541,0.010122115562729283,0.4994734954285217,0.49445674744933554,0.5048048827003231,0.0008115133609180617,0.4912858619227083,0.1491934060078802,0.48467590111809344,0.4060486271735775,0.5759438224603074,2.220446049250313e-16,0.047229515753054785,0.5393268910366811,0.047229515753054785,0.5468237590725957,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M2-root-43102,M2,43102,43102,current,4107,1343,0.49095592414323524,0.15414889775205798,0.48813812188306893,0.4009648625410427,0.5773555458141675,0.4996864039305178,0.009713258415867574,0.4999654901641841,0.4950881659988147,0.5045186194813952,0.0006271921389645035,0.49032873200427074,0.1546760062432814,0.48523297326141024,0.4025587924572134,0.5795109994803153,2.220446049250313e-16,0.047229515753054785,0.53818543989629,0.047229515753054785,0.5469159196835726,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M2-root-43103,M2,43103,43103,current,4107,1343,0.4916198982080593,0.15104704119059606,0.4884938465373453,0.40129540582114764,0.5782925988517906,0.5000100925388141,0.010946544323968603,0.5000978555598402,0.49448566358270957,0.505057964960949,-2.01850776281874e-05,0.4916400832856875,0.1526750363184964,0.4868655955970063,0.40200727579494994,0.5774106431676453,2.220446049250313e-16,0.047229515753054785,0.5388494139611141,0.047229515753054785,0.5472396082918689,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M3-root-43101,M3,43101,43101,current,4107,1343,0.4905732800414003,0.15450091621564502,0.48671186645473463,0.40415398902713207,0.5779822902494625,0.5008615994602961,0.017245706529279325,0.49984874504054466,0.49189337463626104,0.5090879247394982,-0.0017231989205921015,0.4922964789619923,0.15711289722375046,0.48895543782093775,0.4037644976578822,0.5796986347544655,2.220446049250313e-16,0.047229515753054785,0.5378027957944551,0.047229515753054785,0.5480911152133509,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M3-root-43102,M3,43102,43102,current,4107,1343,0.4992658015079927,0.15477097751912036,0.4982669966076838,0.4081600493754255,0.587204554839802,0.5002183830381336,0.01407643529314843,0.5003534171628932,0.4927511716798591,0.507691909811538,-0.00043676607626722057,0.49970256758425996,0.1563400491371478,0.49615938565641227,0.4070800648154844,0.5860017266003588,2.220446049250313e-16,0.047229515753054785,0.5464953172610475,0.047229515753054785,0.5474478987911884,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
M3-root-43103,M3,43103,43103,current,4107,1343,0.4894924563431438,0.15873321917669722,0.48848622838145106,0.3959282382135396,0.5778606202729304,0.5001409216256323,0.01224296421859584,0.5001069939955147,0.49420552872110424,0.5068263456469493,-0.00028184325126454454,0.4897742995944084,0.160763230524709,0.4863252332966602,0.3944298174670855,0.5828858646084363,2.220446049250313e-16,0.047229515753054785,0.5367219720961987,0.047229515753054785,0.5473704373786871,False,False,False,post_hoc_metric_design|coupled_mismatch_donors
