model_id,method,budget,mapping_root,mean_binding_margin_bits_per_token,binding_margin_population_sd,group_accuracy,image_accuracy
M2-low-seed-43101,M2,low,43101,0.0028736034383860898,0.029541684271686835,0.0024390243902439024,0.501219512195122
M3-low-seed-43101,M3,low,43101,0.00031603748164757455,0.02903940340874243,0.024390243902439025,0.5060975609756098
M2-low-seed-43102,M2,low,43102,0.00017573750636918527,0.016337454686524085,0.01707317073170732,0.5024390243902439
M3-low-seed-43102,M3,low,43102,0.0007212538927253465,0.03727885364723833,0.01707317073170732,0.49878048780487805
M2-low-seed-43103,M2,low,43103,0.001517877325689932,0.022271243309813952,0.026829268292682926,0.5036585365853659
M3-low-seed-43103,M3,low,43103,0.0012402791242224183,0.028138292429681605,0.01707317073170732,0.5036585365853659
M2-current-seed-43101,M2,current,43101,0.002952123783647557,0.025112728809778783,0.012195121951219513,0.5
M3-current-seed-43101,M3,current,43101,-0.0021688693784733815,0.02985324286565971,0.014634146341463415,0.4926829268292683
M2-current-seed-43102,M2,current,43102,0.002412966898461234,0.020437990004448695,0.012195121951219513,0.49878048780487805
M3-current-seed-43102,M3,current,43102,0.001273193462735285,0.026258901604839,0.014634146341463415,0.5036585365853659
M2-current-seed-43103,M2,current,43103,-4.85555010425703e-05,0.018020683680160753,0.00975609756097561,0.5036585365853659
M3-current-seed-43103,M3,current,43103,0.0029071161506528526,0.03203216476804649,0.012195121951219513,0.5036585365853659
M2-high-seed-43101,M2,high,43101,-0.002961612307930246,0.025821197767095943,0.012195121951219513,0.49634146341463414
M3-high-seed-43101,M3,high,43101,-0.0018274638715313884,0.025027199784579027,0.012195121951219513,0.5
M2-high-seed-43102,M2,high,43102,-0.00044204142058585266,0.023143371740759203,0.024390243902439025,0.5073170731707317
M3-high-seed-43102,M3,high,43102,-0.002609947688844375,0.023519937947168463,0.007317073170731708,0.49390243902439024
M2-high-seed-43103,M2,high,43103,0.0018180293377694895,0.021165738103415557,0.01951219512195122,0.5048780487804878
M3-high-seed-43103,M3,high,43103,0.0012407895327083748,0.03323482019127593,0.02926829268292683,0.5109756097560976
