"score"	"title"	"year"	"families"	"backends"	"arxiv_ids"	"dois"	"openalex_ids"	"venues"	"types"	"cited_by_count"	"prior_search_duplicate"	"relevance_reasons"	"authors"	"urls"	"abstract"
"20"	"DataProphet: Demystifying Supervision Data Generalization in Multimodal LLMs"	"2026"	"diversity_coverage;mixture_optimization"	"arxiv"	"2603.19688v1"	""	""	""	""	"0"	"False"	"generative-vlm;coverage-diversity;heldout-generalization;algorithmic-exit;multi-query-hit"	"Dan Roth;Luxi He;Xingyu Fu;Xuan Qi"	"https://arxiv.org/abs/2603.19688v1;https://arxiv.org/pdf/2603.19688v1"	"Conventional wisdom for selecting supervision data for multimodal large language models (MLLMs) is to prioritize datasets that appear similar to the target benchmark, such as text-intensive or vision-centric tasks. However, it remains unclear whether such intuitive similarity reliably predicts downstream performance gains. In this work, we take a first step toward answering a practical question: can we estimate the influence of a training dataset on a target benchmark before any training is performed? To investigate this question, we conduct an in-depth analysis of transfer across 14 vision-language datasets spanning 7 diverse tasks. Our results show that intuitive task similarity is an unreliable predictor of transferability, and that generalization depends more on the specific dataset than on its broad task category. Motivated by this finding, we propose DATAPROPHET, a simple and effective training-free metric that combines multimodal perplexity, similarity, and data diversity. Experiments show that DATAPROPHET produces supervision-data rankings that strongly correlate with rankings based on actual post-training performance gains, achieving a Kendall's tau of 86.0%. Moreover, DATAPROPHET enables better supervision-data selection, yielding up to 6.9% improvement over uniform selection, 1.4% over a state-of-the-art training-based baseline, and 0.2% above oracle selection based on experimental performance. Our code and data will be released."
"19"	"jina-vlm: Small Multilingual Vision Language Model"	"2025"	"direct_mixture"	"arxiv"	"2512.04032v3"	""	""	""	""	"0"	"False"	"generative-vlm;controlled-mixture;heldout-generalization;matched-control"	"Andreas Koukounas;Florian Hönicke;Georgios Mastrapas;Guillaume Roncari;Han Xiao;Scott Martens;Sedigheh Eslami"	"https://arxiv.org/abs/2512.04032v3;https://arxiv.org/pdf/2512.04032v3"	"We present jina-vlm, a token-efficient 2.4B parameter vision-language model that achieves state-of-the-art multilingual VQA performance among open 2B-scale VLMs. The model couples a SigLIP2 vision encoder with a Qwen3 language decoder and makes use of image tiling and attention-pooling for token-efficient processing of arbitrary-resolution images. To understand the contribution of different training data categories, we conduct a leave-one-out data mixture ablation study-systematically removing task, domain, modality, and language categories-to diagnose which data types are necessary versus redundant and whether task benefits transfer across domains. Model weights and code are publicly released at https://huggingface.co/jinaai/jina-vlm."
"19"	"MixAtlas: Uncertainty-aware Data Mixture Optimization for Multimodal LLM Midtraining"	"2026"	"mixture_optimization"	"arxiv"	"2604.14198v1"	""	""	""	""	"0"	"False"	"generative-vlm;controlled-mixture;heldout-generalization;algorithmic-exit"	"Bill Howe;Bingbing Wen;Feiyang Kang;Javier Movellan;Lucy Lu Wang;Manjot Bilkhu;Sirajul Salekin"	"https://arxiv.org/abs/2604.14198v1;https://arxiv.org/pdf/2604.14198v1"	"Domain reweighting can improve sample efficiency and downstream generalization, but data-mixture optimization for multimodal midtraining remains largely unexplored. Current multimodal training recipes tune mixtures along a single dimension, typically data format or task type. We introduce MixAtlas, a method that produces benchmark-targeted data recipes that can be inspected, adapted, and transferred to new corpora. MixAtlas decomposes the training corpus along two axes: image concepts (10 visual-domain clusters discovered via CLIP embeddings) and task supervision (5 objective types including captioning, OCR, grounding, detection, and VQA). Using small proxy models (Qwen2-0.5B) paired with a Gaussian-process surrogate and GP-UCB acquisition, MixAtlas searches the resulting mixture space with the same proxy budget as regression-based baselines but finds better-performing mixtures. We evaluate on 10 benchmarks spanning visual understanding, document reasoning, and multimodal reasoning. On Qwen2-7B, optimized mixtures improve average performance by 8.5%-17.6% over the strongest baseline; on Qwen2.5-7B, gains are 1.0%-3.3%. Both settings reach baseline-equivalent training loss in up to 2 times fewer steps. Recipes discovered on 0.5B proxies transfer to 7B-scale training across Qwen model families."
"19"	"Training Long-Context Vision-Language Models Effectively with Generalization Beyond 128K Context"	"2026"	"direct_mixture"	"arxiv"	"2605.13831v1"	""	""	""	""	"0"	"False"	"generative-vlm;controlled-mixture;heldout-generalization;matched-control"	"Chaoyi Huang;Haodong Duan;Ji Luo;Lishu Luo;Shen Yan;Shuai Peng;Sihang Yuan;Sijin Wu;Weiwei Liu;Yangqiu Song;Yi Lin;Zhaowei Wang"	"https://arxiv.org/abs/2605.13831v1;https://arxiv.org/pdf/2605.13831v1"	"Long-context modeling is becoming a core capability of modern large vision-language models (LVLMs), enabling sustained context management across long-document understanding, video analysis, and multi-turn tool use in agentic workflows. Yet practical training recipes remain insufficiently explored, particularly for designing and balancing long-context data mixtures. In this work, we present a systematic study of long-context continued pre-training for LVLMs, extending a 7B model from 32K to 128K context with extensive ablations on long-document data. We first show that long-document VQA is substantially more effective than OCR transcription. Building on this observation, our ablations further yield three key findings: i) for sequence-length distribution, balanced data outperforms target-length-focused data (e.g., 128K), suggesting that long-context ability requires generalizable key-information retrieval across various lengths and positions; ii) retrieval remains the primary bottleneck, favoring retrieval-heavy mixtures with modest reasoning data for task diversity; and iii) pure long-document VQA largely preserves short-context capabilities, suggesting that instruction-formatted long data reduces the need for short-data mixing. Based on these findings, we introduce MMProLong, obtained by long-context continued pre-training from Qwen2.5-VL-7B with only a 5B-token budget. MMProLong improves long-document VQA scores by 7.1% and maintains strong performance at 256K and 512K contexts beyond its 128K training window, without additional training. It further generalizes to webpage-based multimodal needle retrieval, long-context vision-text compression, and long-video understanding without task-specific supervision. Overall, our study establishes a practical LongPT recipe and an empirical foundation for advancing long-context vision-language models."
"18"	"DaMo: Data Mixing Optimizer in Fine-tuning Multimodal LLMs for Mobile Phone Agents"	"2025"	"direct_mixture;mixture_optimization"	"arxiv"	"2510.19336v1"	""	""	""	""	"0"	"False"	"generative-vlm;controlled-mixture;heldout-generalization;multi-query-hit"	"Binqiang Pan;Chao Zhang;Haonan Lu;Jun Yang;Kai Shi;Ni Yang;Qingsong Xie;Tianhuang Su;Zhenyu Yang"	"https://arxiv.org/abs/2510.19336v1;https://arxiv.org/pdf/2510.19336v1"	"Mobile Phone Agents (MPAs) have emerged as a promising research direction due to their broad applicability across diverse scenarios. While Multimodal Large Language Models (MLLMs) serve as the foundation for MPAs, their effectiveness in handling multiple mobile phone tasks simultaneously remains limited. Although multitask supervised fine-tuning (SFT) is widely adopted for multitask learning, existing approaches struggle to determine optimal training data compositions for peak performance. To address this challenge, we propose DaMo (Data Mixture Optimizer) - a novel solution employing a trainable network that predicts optimal data mixtures by forecasting downstream task performance for any given dataset ratio. To support comprehensive evaluation, we introduce PhoneAgentBench, the first specialized benchmark to evaluate MLLMs on multimodal mobile phone tasks, comprising 1235 QA pairs spanning diverse real-world industrial mobile application scenarios. Demonstrating strong predictive capability (R^2=0.81) in small-scale pilot experiments, DaMo efficiently extrapolates optimal data mixing configurations. Our results show DaMo achieves a 3.38% performance improvement on PhoneAgentBench compared to alternative methods. Furthermore, extensive experiments across established benchmarks including BFCL-v3, MME-Reasoning, MME-Perception, and OCRBench reveal DaMo's superior generalization, outperforming other approaches by 2.57% in terms of average score. When used solely for MLLM optimization on the BFCL-v3 task, DaMo improves the metrics by 12.47% than other methods. Notably, DaMo maintains robust scalability, preserving its effectiveness when applied to other model architectures. The code and dataset are available at https://github.com/OPPO-Mente-Lab/DaMo.git"
"18"	"Less is More: High-value Data Selection for Visual Instruction Tuning"	"2024"	"mixture_optimization"	"arxiv"	"2403.09559v4"	""	""	""	""	"0"	"False"	"generative-vlm;coverage-diversity;heldout-generalization;algorithmic-exit"	"Dawei Gao;Ji-Rong Wen;Kun Zhou;Wayne Xin Zhao;Yaliang Li;Zikang Liu"	"https://arxiv.org/abs/2403.09559v4;https://arxiv.org/pdf/2403.09559v4"	"Visual instruction tuning is the key to building large vision language models~(LVLMs), which can greatly improve the task generalization and solving capabilities by learning a mixture of instruction data from diverse visual tasks. Previous work mostly collects multiple existing visual instruction datasets via heuristic ways for training (even more than a million instructions), which may introduce data redundancy and enlarge the training cost. To investigate this issue, we conduct a series of empirical studies, which reveal a significant redundancy within the visual instruction datasets, and show that greatly reducing the amount of instructions from several tasks even do not affect the performance. Based on the findings, we propose a high-value data selection approach TIVE, to eliminate redundancy within the visual instruction data and reduce the training cost. In TIVE, we first estimate the instance influence score on its corresponding task, and the task difficulty score, based on the gradient-based influence functions. Then, we leverage the two kinds of scores to determine the task proportion within the selected visual instruction subset, and select high-value instances for each task, respectively. Experiments on various LVLMs show that our approach using only about 15% data can achieve comparable average performance to the full-data fine-tuned model across eight benchmarks, even surpassing it on four of the benchmarks. Our code and data will be publicly released."
"18"	"MM1.5: Methods, Analysis & Insights from Multimodal LLM Fine-tuning"	"2024"	"direct_mixture"	"arxiv"	"2409.20566v1"	""	""	""	""	"0"	"False"	"generative-vlm;controlled-mixture;matched-control;algorithmic-exit"	"Afshin Dehghan;Aleksei Timofeev;Bowen Zhang;Dhruti Shah;Forrest Huang;Haotian Zhang;Haoxuan You;Hong-You Chen;Jean-Philippe Fauconnier;Keen You;Mingfei Gao;Mingze Xu;Nina Wenzel;Peter Grasch;Philipp Dufter;Sam Dodge;Xianzhi Du;Yanghao Li;Yinfei Yang;Zhe Gan;Zhen Yang;Zhengfeng Lai;Zirui Wang"	"https://arxiv.org/abs/2409.20566v1;https://arxiv.org/pdf/2409.20566v1"	"We present MM1.5, a new family of multimodal large language models (MLLMs) designed to enhance capabilities in text-rich image understanding, visual referring and grounding, and multi-image reasoning. Building upon the MM1 architecture, MM1.5 adopts a data-centric approach to model training, systematically exploring the impact of diverse data mixtures across the entire model training lifecycle. This includes high-quality OCR data and synthetic captions for continual pre-training, as well as an optimized visual instruction-tuning data mixture for supervised fine-tuning. Our models range from 1B to 30B parameters, encompassing both dense and mixture-of-experts (MoE) variants, and demonstrate that careful data curation and training strategies can yield strong performance even at small scales (1B and 3B). Additionally, we introduce two specialized variants: MM1.5-Video, designed for video understanding, and MM1.5-UI, tailored for mobile UI understanding. Through extensive empirical studies and ablations, we provide detailed insights into the training processes and decisions that inform our final designs, offering valuable guidance for future research in MLLM development."
"17"	"ICONS: Influence Consensus for Vision-Language Data Selection"	"2024"	"allava_vflan;direct_mixture;mixture_optimization"	"arxiv"	"2501.00654v4"	""	""	""	""	"0"	"False"	"generative-vlm;controlled-mixture;algorithmic-exit;multi-query-hit"	"Mengzhou Xia;Olga Russakovsky;Pang Wei Koh;Rulin Shao;Xindi Wu;Zhiwei Deng"	"https://arxiv.org/abs/2501.00654v4;https://arxiv.org/pdf/2501.00654v4"	"Training vision-language models via instruction tuning relies on large data mixtures spanning diverse tasks and domains, yet these mixtures frequently include redundant information that increases computational costs without proportional gains. Existing methods typically rely on task-agnostic heuristics to estimate data importance, limiting their effectiveness across tasks. We introduce ICONS, a gradient-based Influence CONsensus approach for vision-language data Selection. Our method leverages first-order training dynamics to estimate each example's influence on validation performance, then aggregates these estimates across tasks via majority voting. This cross-task consensus identifies consistently valuable data points while mitigating score calibration and outlier sensitivity, enabling robust and scalable data selection for diverse multitask mixtures. Models trained on our selected 20% data subset from LLAVA-665K (respectively: from CAMBRIAN-7M, from VISION-FLAN-186K) retain 98.6% (respectively: 98.8%, 99.8%) of full-dataset performance. We demonstrate that our selected data generalizes to unseen tasks and model architectures, and release three compact subsets LLAVA-ICONS-133K, CAMBRIAN-ICONS-1.4M, and VISION-FLAN-ICONS-37K for efficient vision-language model development."
"17"	"ZonUI-3B: A Lightweight Vision-Language Model for Cross-Resolution GUI Grounding"	"2025"	"diversity_coverage"	"arxiv"	"2506.23491v3"	""	""	""	""	"0"	"False"	"generative-vlm;coverage-diversity;matched-control;algorithmic-exit"	"ShengJing Yang;Tzer-Jen Wei;ZongHan Hsieh"	"https://arxiv.org/abs/2506.23491v3;https://arxiv.org/pdf/2506.23491v3"	"In this paper, we present ZonUI-3B, a lightweight Vision-Language Model (VLM) that can be fully trained on a single consumer-grade GPU (RTX 4090) while delivering performance comparable to significantly larger models on GUI grounding tasks. The model incorporates several key innovations: (i) combine cross-platform, multi-resolution dataset of 24K examples from diverse sources including mobile, desktop, and web GUI screenshots to effectively address data scarcity in high-resolution desktop environments; (ii) a two-stage fine-tuning strategy, where initial cross-platform training establishes robust GUI understanding, followed by specialized fine-tuning on high-resolution data to significantly enhance model adaptability; and (iii) data curation and redundancy reduction strategies, demonstrating that randomly sampling a smaller subset with reduced redundancy achieves performance comparable to larger datasets, emphasizing data diversity over sheer volume. Empirical evaluation on standard GUI grounding benchmarks, including ScreenSpot, ScreenSpot-v2, and the challenging ScreenSpot-Pro, highlights ZonUI-3B's exceptional accuracy, achieving 84.9% on ScreenSpot and 86.4% on ScreenSpot-v2, surpassing prior models under 4B parameters. Ablation studies validate the critical role of balanced sampling and two-stage fine-tuning in enhancing robustness, particularly in high-resolution desktop scenarios. The ZonUI-3B is available at: https://github.com/Han1018/ZonUI-3B"
"16"	"DecoupleMix: Decoupled Ratio Search and Convex Allocation for Scalable VLM Data Recipes"	"2026"	"mixture_optimization"	"arxiv"	"2607.24516v1"	""	""	""	""	"0"	"False"	"generative-vlm;heldout-generalization;matched-control;algorithmic-exit"	"Cheng Yang;Dongling Xiao;Jiahao Xie;Qianle Wang;Ruiqi Lu;Wanxuan Sun;Zhongbin Guo"	"https://arxiv.org/abs/2607.24516v1;https://arxiv.org/pdf/2607.24516v1"	"While data curation for Vision Language Models (VLMs) is increasingly active, public practice for constructing pretraining mixtures remains largely heuristic: practitioners stack datasets that pass quality filters, set cross-domain ratios by intuition, and lack a principled, attributable criterion for admitting new data, while frontier recipes remain undisclosed. We formulate data construction as a systematic mixture-optimization problem and turn it into a reproducible engineering discipline by decoupling the mixture into two orthogonal sub-problems: inter-class ratios across capabilities and intra-class ratios within a category. For inter-class allocation, we use a single-variable iterative search; for intra-class composition, we apply a multidimensional, dataset-level assessment scoring Quality and Difficulty, and formulate selection as a constrained convex optimization with a diversity objective. The DecoupleMix framework delivers two critical capabilities: guiding what data to collect next and rendering dataset validation a controlled, attributable experiment. Experiments show our approach consistently surpasses heuristic baselines. Moreover, optimal ratios discovered on small-scale proxies transfer seamlessly to larger scales without retuning. Using 80B additional multimodal continue-pretraining tokens, our VLM is competitive with strong open-source models trained with substantially larger multimodal budgets."
