"score"	"title"	"year"	"families"	"backends"	"arxiv_ids"	"dois"	"openalex_ids"	"venues"	"types"	"cited_by_count"	"prior_search_duplicate"	"relevance_reasons"	"authors"	"urls"	"abstract"
"21"	"Learning Compact Vision Tokens for Efficient Large Multimodal Models"	"2025"	"frozen_sufficiency_expansion"	"arxiv"	"2506.07138v1"	""	""	""	""	"0"	"False"	"direct-vlm;frozen-interface;formal-identifiability;matched-control"	"Chengchao Shen;Hao Tang"	"https://arxiv.org/abs/2506.07138v1;https://arxiv.org/pdf/2506.07138v1"	"Large multimodal models (LMMs) suffer significant computational challenges due to the high cost of Large Language Models (LLMs) and the quadratic complexity of processing long vision token sequences. In this paper, we explore the spatial redundancy among vision tokens and shorten the length of vision token sequences for inference acceleration. Specifically, we propose a Spatial Token Fusion (STF) method to learn compact vision tokens for short vision token sequence, where spatial-adjacent tokens are fused into one. Meanwhile, weight-frozen vision encoder can not well adapt to the demand of extensive downstream vision-language tasks. To this end, we further introduce a Multi-Block Token Fusion (MBTF) module to supplement multi-granularity features for the reduced token sequence. Overall, we combine STF and MBTF module to balance token reduction and information preservation, thereby improving inference efficiency without sacrificing multimodal reasoning capabilities. Experimental results demonstrate that our method based on LLaVA-1.5 achieves comparable or even superior performance to the baseline on 8 popular vision-language benchmarks with only $25\%$ vision tokens of baseline. The source code and trained weights are available at https://github.com/visresearch/LLaVA-STF."
"21"	"What Representational Similarity Measures Imply about Decodable Information"	"2024"	"formal_identifiability;formal_identifiability_vinfo_expansion"	"arxiv"	"2411.08197v1"	""	""	""	""	"0"	"False"	"fixed-readout;formal-identifiability;rotation-spatial;matched-control;multi-query-hit"	"Alex H. Williams;David Lipshutz;Sarah E. Harvey"	"https://arxiv.org/abs/2411.08197v1;https://arxiv.org/pdf/2411.08197v1"	"Neural responses encode information that is useful for a variety of downstream tasks. A common approach to understand these systems is to build regression models or ``decoders'' that reconstruct features of the stimulus from neural responses. Popular neural network similarity measures like centered kernel alignment (CKA), canonical correlation analysis (CCA), and Procrustes shape distance, do not explicitly leverage this perspective and instead highlight geometric invariances to orthogonal or affine transformations when comparing representations. Here, we show that many of these measures can, in fact, be equivalently motivated from a decoding perspective. Specifically, measures like CKA and CCA quantify the average alignment between optimal linear readouts across a distribution of decoding tasks. We also show that the Procrustes shape distance upper bounds the distance between optimal linear readouts and that the converse holds for representations with low participation ratio. Overall, our work demonstrates a tight link between the geometry of neural representations and the ability to linearly decode information. This perspective suggests new ways of measuring similarity between neural systems and also provides novel, unifying interpretations of existing measures."
"17"	"Assessing and Learning Alignment of Unimodal Vision and Language Models"	"2024"	"lvpm_interface_probe_expansion;vlm_probe_expansion"	"arxiv"	"2412.04616v2"	""	""	""	""	"0"	"False"	"direct-vlm;fixed-readout;matched-control;multi-query-hit"	"Aishwarya Agrawal;Le Zhang;Qian Yang"	"https://arxiv.org/abs/2412.04616v2;https://arxiv.org/pdf/2412.04616v2"	"How well are unimodal vision and language models aligned? Although prior work have approached answering this question, their assessment methods do not directly translate to how these models are used in practical vision-language tasks. In this paper, we propose a direct assessment method, inspired by linear probing, to assess vision-language alignment. We identify that the degree of alignment of the SSL vision models depends on their SSL training objective, and we find that the clustering quality of SSL representations has a stronger impact on alignment performance than their linear separability. Next, we introduce Swift Alignment of Image and Language (SAIL), a efficient transfer learning framework that aligns pretrained unimodal vision and language models for downstream vision-language tasks. Since SAIL leverages the strengths of pretrained unimodal models, it requires significantly fewer (6%) paired image-text data for the multimodal alignment compared to models like CLIP which are trained from scratch. SAIL training only requires a single A100 GPU, 5 hours of training and can accommodate a batch size up to 32,768. SAIL achieves 73.4% zero-shot accuracy on ImageNet (vs. CLIP's 72.7%) and excels in zero-shot retrieval, complex reasoning, and semantic segmentation. Additionally, SAIL improves the language-compatibility of vision encoders that in turn enhance the performance of multimodal large language models. The entire codebase and model weights are open-source: https://lezhang7.github.io/sail.github.io/"
"17"	"Beyond Activation Alignment: The Geometry of Neural Sensitivity"	"2026"	"formal_identifiability;formal_identifiability_vinfo_expansion"	"arxiv"	"2605.03222v2"	""	""	""	""	"0"	"False"	"fixed-readout;formal-identifiability;matched-control;multi-query-hit"	"Amirhossein Yavari;Farnaz Zamani Esfahlani"	"https://arxiv.org/abs/2605.03222v2;https://arxiv.org/pdf/2605.03222v2"	"Activation-alignment measures such as Representational Similarity Analysis (RSA), Canonical Correlation Analysis (CCA), and Centered Kernel Alignment (CKA) are widely used to compare biological and artificial neural representations. Recent theoretical work interprets many of these methods as assessing agreement between optimal linear readouts over broad families of global tasks. However, agreement at the level of global readouts does not determine how a system uses local stimulus evidence. Specifically, representations may align in activation space yet differ in their sensitivity to small perturbations. To address this challenge, we introduce a complementary framework based on local decodable information, which focuses on a representation's ability, under noise, to discriminate small perturbations within a specified stimulus-coordinate subspace. Building on Fisher information and local representation geometry, we summarize each representation using the expected projected pullback/Fisher metric over that subspace. This formulation induces a second-moment family of local discrimination tasks, for which the resulting operator provides a minimal, complete dataset-level summary of expected discriminability. We compare these regularized signatures using a log-spectral distance on the manifold of symmetric positive definite (SPD) matrices, yielding the Spectral Riemannian Alignment Score (S-RAS) and a uniform multiplicative certificate over the corresponding family of lifted task values. Empirically, this framework enables the recovery of corresponding layers across independently trained artificial neural networks, supports transferable class-conditional probes, reveals controlled dissociations between standard and robust training, and uncovers stimulus-coordinate family effects across mouse visual cortex using the Allen Brain Observatory static gratings dataset."
"17"	"Learning Optimal Representations with the Decodable Information Bottleneck"	"2020"	"formal_identifiability;formal_identifiability_vinfo_expansion"	"arxiv"	"2009.12789v2"	""	""	""	""	"0"	"False"	"fixed-readout;formal-identifiability;matched-control;multi-query-hit"	"David J. Schwab;Douwe Kiela;Ramakrishna Vedantam;Yann Dubois"	"https://arxiv.org/abs/2009.12789v2;https://arxiv.org/pdf/2009.12789v2"	"We address the question of characterizing and finding optimal representations for supervised learning. Traditionally, this question has been tackled using the Information Bottleneck, which compresses the inputs while retaining information about the targets, in a decoder-agnostic fashion. In machine learning, however, our goal is not compression but rather generalization, which is intimately linked to the predictive family or decoder of interest (e.g. linear classifier). We propose the Decodable Information Bottleneck (DIB) that considers information retention and compression from the perspective of the desired predictive family. As a result, DIB gives rise to representations that are optimal in terms of expected test performance and can be estimated with guarantees. Empirically, we show that the framework can be used to enforce a small generalization gap on downstream classifiers and to predict the generalization ability of neural networks."
"16"	"Probing Visual Concepts in Lightweight Vision-Language Models for Automated Driving"	"2026"	"lvpm_interface_probe_expansion"	"arxiv"	"2603.06054v1"	""	""	""	""	"0"	"False"	"direct-vlm;fixed-readout;rotation-spatial"	"Anthony Scanlan;Ciarán Eising;Ganesh Sistu;Nikos Theodoridis;Reenu Mohandas;Tim Brophy"	"https://arxiv.org/abs/2603.06054v1;https://arxiv.org/pdf/2603.06054v1"	"The use of Vision-Language Models (VLMs) in automated driving applications is becoming increasingly common, with the aim of leveraging their reasoning and generalisation capabilities to handle long tail scenarios. However, these models often fail on simple visual questions that are highly relevant to automated driving, and the reasons behind these failures remain poorly understood. In this work, we examine the intermediate activations of VLMs and assess the extent to which specific visual concepts are linearly encoded, with the goal of identifying bottlenecks in the flow of visual information. Specifically, we create counterfactual image sets that differ only in a targeted visual concept and then train linear probes to distinguish between them using the activations of four state-of-the-art (SOTA) VLMs. Our results show that concepts such as the presence of an object or agent in a scene are explicitly and linearly encoded, whereas other spatial visual concepts, such as the orientation of an object or agent, are only implicitly encoded by the spatial structure retained by the vision encoder. In parallel, we observe that in certain cases, even when a concept is linearly encoded in the model's activations, the model still fails to answer correctly. This leads us to identify two failure modes. The first is perceptual failure, where the visual information required to answer a question is not linearly encoded in the model's activations. The second is cognitive failure, where the visual information is present but the model fails to align it correctly with language semantics. Finally, we show that increasing the distance of the object in question quickly degrades the linear separability of the corresponding visual concept. Overall, our findings improve our understanding of failure cases in VLMs on simple visual tasks that are highly relevant to automated driving."
"16"	"Textual Steering Vectors Can Improve Visual Understanding in Multimodal Large Language Models"	"2025"	"vlm_probe_expansion"	"arxiv"	"2505.14071v1"	""	""	""	""	"0"	"False"	"direct-vlm;fixed-readout;rotation-spatial"	"Dani Yogatama;Deqing Fu;Julian Asilis;Ollie Liu;Robin Jia;Vatsal Sharan;Willie Neiswanger;Woody Haosheng Gan"	"https://arxiv.org/abs/2505.14071v1;https://arxiv.org/pdf/2505.14071v1"	"Steering methods have emerged as effective and targeted tools for guiding large language models' (LLMs) behavior without modifying their parameters. Multimodal large language models (MLLMs), however, do not currently enjoy the same suite of techniques, due in part to their recency and architectural diversity. Inspired by this gap, we investigate whether MLLMs can be steered using vectors derived from their text-only LLM backbone, via sparse autoencoders (SAEs), mean shift, and linear probing. We find that text-derived steering consistently enhances multimodal accuracy across diverse MLLM architectures and visual tasks. In particular, mean shift boosts spatial relationship accuracy on CV-Bench by up to +7.3% and counting accuracy by up to +3.3%, outperforming prompting and exhibiting strong generalization to out-of-distribution datasets. These results highlight textual steering vectors as a powerful, efficient mechanism for enhancing grounding in MLLMs with minimal additional data collection and computational overhead."
"15"	"A Closer Look at the Few-Shot Adaptation of Large Vision-Language Models"	"2023"	"vlm_probe_expansion"	"arxiv"	"2312.12730v2"	""	""	""	""	"0"	"False"	"direct-vlm;fixed-readout;matched-control"	"Ismail Ben Ayed;Jose Dolz;Julio Silva-Rodríguez;Sina Hajimiri"	"https://arxiv.org/abs/2312.12730v2;https://arxiv.org/pdf/2312.12730v2"	"Efficient transfer learning (ETL) is receiving increasing attention to adapt large pre-trained language-vision models on downstream tasks with a few labeled samples. While significant progress has been made, we reveal that state-of-the-art ETL approaches exhibit strong performance only in narrowly-defined experimental setups, and with a careful adjustment of hyperparameters based on a large corpus of labeled samples. In particular, we make two interesting, and surprising empirical observations. First, to outperform a simple Linear Probing baseline, these methods require to optimize their hyper-parameters on each target task. And second, they typically underperform -- sometimes dramatically -- standard zero-shot predictions in the presence of distributional drifts. Motivated by the unrealistic assumptions made in the existing literature, i.e., access to a large validation set and case-specific grid-search for optimal hyperparameters, we propose a novel approach that meets the requirements of real-world scenarios. More concretely, we introduce a CLass-Adaptive linear Probe (CLAP) objective, whose balancing term is optimized via an adaptation of the general Augmented Lagrangian method tailored to this context. We comprehensively evaluate CLAP on a broad span of datasets and scenarios, demonstrating that it consistently outperforms SoTA approaches, while yet being a much more efficient alternative."
"15"	"Demystifying the Visual Quality Paradox in Multimodal Large Language Models"	"2025"	"frozen_sufficiency_expansion"	"arxiv"	"2506.15645v1"	""	""	""	""	"0"	"False"	"direct-vlm;frozen-interface;matched-control"	"Hongyuan Hua;Lanqing Guo;Peiran Li;Seoyoung Lee;Shuo Xing;Yufei Wang;Zhangyang Wang;Zhengzhong Tu"	"https://arxiv.org/abs/2506.15645v1;https://arxiv.org/pdf/2506.15645v1"	"Recent Multimodal Large Language Models (MLLMs) excel on benchmark vision-language tasks, yet little is known about how input visual quality shapes their responses. Does higher perceptual quality of images already translate to better MLLM understanding? We conduct the first systematic study spanning leading MLLMs and a suite of vision-language benchmarks, applying controlled degradations and stylistic shifts to each image. Surprisingly, we uncover a visual-quality paradox: model, task, and even individual-instance performance can improve when images deviate from human-perceived fidelity. Off-the-shelf restoration pipelines fail to reconcile these idiosyncratic preferences. To close the gap, we introduce Visual-Quality Test-Time Tuning (VQ-TTT)-a lightweight adaptation module that: (1) inserts a learnable, low-rank kernel before the frozen vision encoder to modulate frequency content; and (2) fine-tunes only shallow vision-encoder layers via LoRA. VQ-TTT dynamically adjusts each input image in a single forward pass, aligning it with task-specific model preferences. Across the evaluated MLLMs and all datasets, VQ-TTT lifts significant average accuracy, with no external models, cached features, or extra training data. These findings redefine ``better'' visual inputs for MLLMs and highlight the need for adaptive, rather than universally ``clean'', imagery, in the new era of AI being the main data customer."
"15"	"Early Warning Signals for OpenVLA Failure under Visual Distribution Shift"	"2026"	"formal_identifiability"	"arxiv"	"2606.29699v1"	""	""	""	""	"0"	"False"	"fixed-readout;formal-identifiability;matched-control"	"Dipesh Tharu Mahato;Rachel Ren"	"https://arxiv.org/abs/2606.29699v1;https://arxiv.org/pdf/2606.29699v1"	"Vision Language Action models combine perception, language grounding, and control in a single policy, but their failures are hard to diagnose once visual conditions shift. We test whether OpenVLA feedforward activations contain linearly decodable information about near term task failure in LIBERO manipulation rollouts. The policy is fixed throughout. We log internal activations during execution and fit lightweight monitors after the rollouts are collected. Occlusion is the main controlled stress test. It reduces OpenVLA success from $57\%$ to $17\%$ over $100$ episodes per condition. Under this shift, a logistic probe at layer 16 reaches AUROC $0.972$ and AUPRC $0.352$ for predicting failure within a $15$ step horizon. It outperforms both a mean difference direction and an action disagreement baseline. A sparse layer sweep finds uneven decodability across depth: layer 16 is strongest among the tested layers, layer 8 remains informative, and layer 10 is weaker. To check whether the monitor is just an occlusion detector, we also evaluate color shift and camera jitter without refitting. Color shift produces no failures in this setting, so it is a benign control rather than a failure benchmark. Camera jitter does induce failures, and the occlusion trained monitor remains above random. The result is deliberately limited: OpenVLA internal states contain failure relevant structure under controlled perceptual shift, but these experiments do not establish a causal mechanism, task held out generalization, or a deployable recovery system."
"15"	"FROST-Drive: Scalable and Efficient End-to-End Driving with a Frozen Vision Encoder"	"2026"	"frozen_sufficiency_expansion"	"arxiv"	"2601.03460v1"	""	""	""	""	"0"	"False"	"direct-vlm;frozen-interface;matched-control"	"Yimin Zhu;Yu Sun;Yu Wu;Zeyu Dong"	"https://arxiv.org/abs/2601.03460v1;https://arxiv.org/pdf/2601.03460v1"	"End-to-end (E2E) models in autonomous driving aim to directly map sensor inputs to control commands, but their ability to generalize to novel and complex scenarios remains a key challenge. The common practice of fully fine-tuning the vision encoder on driving datasets potentially limits its generalization by causing the model to specialize too heavily in the training data. This work challenges the necessity of this training paradigm. We propose FROST-Drive, a novel E2E architecture designed to preserve and leverage the powerful generalization capabilities of a pretrained vision encoder from a Vision-Language Model (VLM). By keeping the encoder's weights frozen, our approach directly transfers the rich, generalized world knowledge from the VLM to the driving task. Our model architecture combines this frozen encoder with a transformer-based adapter for multimodal fusion and a GRU-based decoder for smooth waypoint generation. Furthermore, we introduce a custom loss function designed to directly optimize for Rater Feedback Score (RFS), a metric that prioritizes robust trajectory planning. We conduct extensive experiments on Waymo Open E2E Dataset, a large-scale datasets deliberately curated to capture the long-tail scenarios, demonstrating that our frozen-encoder approach significantly outperforms models that employ full fine-tuning. Our results provide substantial evidence that preserving the broad knowledge of a capable VLM is a more effective strategy for achieving robust, generalizable driving performance than intensive domain-specific adaptation. This offers a new pathway for developing vision-based models that can better handle the complexities of real-world application domains."
"15"	"LeVLJEPA: End-to-End Vision-Language Pretraining Without Negatives"	"2026"	"vlm_probe"	"arxiv"	"2607.00784v1"	""	""	""	""	"0"	"False"	"direct-vlm;fixed-readout;matched-control"	"Florian Buettner;Giuseppe Serra;Lukas Kuhn;Randall Balestriero"	"https://arxiv.org/abs/2607.00784v1;https://arxiv.org/pdf/2607.00784v1"	"Vision-language pretraining remains dominated by contrastive objectives, whereas vision-only self-supervised learning has largely adopted non-contrastive methods. At the same time, the role of vision-language encoders has shifted: they are increasingly deployed not as zero-shot classifiers but as the frozen visual backbone of vision-language models and dense prediction systems, which consume the full grid of patch tokens rather than a single pooled embedding. We introduce LeVLJEPA, the first fully non-contrastive end-to-end vision-language pretraining method. LeVLJEPA learns through cross-modal prediction with stop-gradient targets and per-modality distributional regularization, without negatives, temperature, momentum encoder, or teacher-student schedule, and trains stably at large scale. We find that the resulting encoder provides markedly stronger dense semantic features for downstream use: as a frozen vision-language-model backbone, LeVLJEPA is the strongest of the evaluated encoders across GQA, VQAv2, and POPE under two distinct language models, and outperforms contrastive baselines on semantic segmentation, while remaining on par on global readouts such as linear probing. These results establish non-contrastive pretraining as an effective means of producing dense semantic vision features."
"15"	"RVLF: A Reinforcing Vision-Language Framework for Gloss-Free Sign Language Translation"	"2025"	"formal_identifiability_sufficiency_expansion"	"arxiv"	"2512.07273v1"	""	""	""	""	"0"	"False"	"direct-vlm;formal-identifiability;matched-control"	"Benjia Zhou;Jun Wan;Sergio Escalera;Yiqing Huang;Yucheng Zhou;Zhi Rao"	"https://arxiv.org/abs/2512.07273v1;https://arxiv.org/pdf/2512.07273v1"	"Gloss-free sign language translation (SLT) is hindered by two key challenges: **inadequate sign representation** that fails to capture nuanced visual cues, and **sentence-level semantic misalignment** in current LLM-based methods, which limits translation quality. To address these issues, we propose a three-stage **r**einforcing **v**ision-**l**anguage **f**ramework (**RVLF**). We build a large vision-language model (LVLM) specifically designed for sign language, and then combine it with reinforcement learning (RL) to adaptively enhance translation performance. First, for a sufficient representation of sign language, RVLF introduces an effective semantic representation learning mechanism that fuses skeleton-based motion cues with semantically rich visual features extracted via DINOv2, followed by instruction tuning to obtain a strong SLT-SFT baseline. Then, to improve sentence-level semantic misalignment, we introduce a GRPO-based optimization strategy that fine-tunes the SLT-SFT model with a reward function combining translation fidelity (BLEU) and sentence completeness (ROUGE), yielding the optimized model termed SLT-GRPO. Our conceptually simple framework yields substantial gains under the gloss-free SLT setting without pre-training on any external large-scale sign language datasets, improving BLEU-4 scores by +5.1, +1.11, +1.4, and +1.61 on the CSL-Daily, PHOENIX-2014T, How2Sign, and OpenASL datasets, respectively. To the best of our knowledge, this is the first work to incorporate GRPO into SLT. Extensive experiments and ablation studies validate the effectiveness of GRPO-based optimization in enhancing both translation quality and semantic consistency."
"15"	"Understanding Knowledge Transfer Mechanism in Heterogeneous MLLM Fusion: A Simple Linear Approach"	"2026"	"vlm_probe_expansion"	"arxiv"	"2607.26608v1"	""	""	""	""	"0"	"False"	"direct-vlm;fixed-readout;matched-control"	"Hong Xie;Jiahe Fan;Yinghao Hou;Yuanhao Pu;Zongyuan Chen"	"https://arxiv.org/abs/2607.26608v1;https://arxiv.org/pdf/2607.26608v1"	"Training-free fusion of heterogeneous multimodal large language models (MLLMs) provides a direct route for cross-scale capability transfer, yet improvements in aggregate performance do not reveal what a smaller model actually inherits. Existing studies are largely designed and evaluated on limited task sets or aggregate metrics; as evaluation expands to broader task collections, whether different capabilities can transfer across scales remains poorly understood. To investigate this question, we introduce Cross-Scale Directional Parameter Injection (CDPI), a simple linear probe to analyze cross-scale knowledge transfer during heterogeneous fusion. A local theoretical analysis indicates that knowledge transfer selectivity is determined at first order by capability-dependent responses to a shared injection direction, while second-order curvature effects constrain the effective transfer regime. Across four Qwen3-VL model pairs and twelve multimodal benchmarks, our experiments reveal a consistent pattern of selectivity: gains concentrate on reasoning, particularly high-level reasoning, whereas perception performance remains close to that of the original target model. Component-wise ablations further show that high-level reasoning gains arise primarily from the language model, while ratio analysis finds that positive selective transfer occurs mainly in the small-ratio regime. These findings recast cross-scale heterogeneous MLLM fusion as selective language-side reasoning transfer within a narrow, low-interference regime, rather than broad capability inheritance."
"14"	"From Drop-off to Recovery: A Mechanistic Analysis of Segmentation in MLLMs"	"2026"	"lvpm_interface_probe_expansion;vlm_probe_expansion"	"arxiv"	"2603.17228v1"	""	""	""	""	"0"	"False"	"direct-vlm;fixed-readout;multi-query-hit"	"Boyong Wu;Sanghwan Kim;Zeynep Akata"	"https://arxiv.org/abs/2603.17228v1;https://arxiv.org/pdf/2603.17228v1"	"Multimodal Large Language Models (MLLMs) are increasingly applied to pixel-level vision tasks, yet their intrinsic capacity for spatial understanding remains poorly understood. We investigate segmentation capacity through a layerwise linear probing evaluation across the entire MLLM pipeline: vision encoder, adapter, and LLM. We further conduct an intervention based attention knockout analysis to test whether cross-token attention progressively refines visual representations, and an evaluation of bidirectional attention among image tokens on spatial consistency. Our analysis reveals that the adapter introduces a segmentation representation drop-off, but LLM layers progressively recover through attention-mediated refinement, where correctly classified tokens steer misclassified neighbors toward the correct label. At early image token positions, this recovery is bounded by causal attention, which bidirectional attention among image tokens alleviates. These findings provide a mechanistic account of how MLLMs process visual information for segmentation, informing the design of future segmentation-capable models."
"14"	"Integrated representational signatures strengthen specificity in brains and models"	"2025"	"formal_identifiability;formal_identifiability_vinfo_expansion"	"arxiv"	"2510.20847v2"	""	""	""	""	"0"	"False"	"fixed-readout;formal-identifiability;multi-query-hit"	"Jialin Wu;Meenakshi Khosla;Shreya Saha;Yiqing Bo"	"https://arxiv.org/abs/2510.20847v2;https://arxiv.org/pdf/2510.20847v2"	"The extent to which different neural or artificial neural networks (models) rely on equivalent representations to support similar tasks remains a central question in neuroscience and machine learning. Prior work has typically compared systems using a single representational similarity metric, yet each captures only one facet of representational structure. To address this, we leverage a suite of representational similarity metrics-each capturing a distinct facet of representational correspondence, such as geometry, unit-level tuning, or linear decodability-and assess brain region or model separability using multiple complementary measures. Metrics that preserve geometric or tuning structure (e.g., RSA, Soft Matching) yield stronger region-based discrimination, whereas more flexible mappings such as Linear Predictivity show weaker separation. These findings suggest that geometry and tuning encode brain-region- or model-family-specific signatures, while linearly decodable information tends to be more globally shared across regions or models. To integrate these complementary representational facets, we adapt Similarity Network Fusion (SNF), a framework originally developed for multi-omics data integration. SNF produces substantially sharper regional and model family-level separation than any single metric and yields robust composite similarity profiles. Moreover, clustering cortical regions using SNF-derived similarity scores reveals a clearer hierarchical organization that aligns closely with established anatomical and functional hierarchies of the visual cortex-surpassing the correspondence achieved by individual metrics."
"14"	"Neural tuning and representational geometry"	"2021"	"formal_identifiability;formal_identifiability_vinfo_expansion"	"arxiv"	"2104.09743v1"	""	""	""	""	"0"	"False"	"fixed-readout;formal-identifiability;multi-query-hit"	"Nikolaus Kriegeskorte;Xue-Xin Wei"	"https://arxiv.org/abs/2104.09743v1;https://arxiv.org/pdf/2104.09743v1"	"A central goal of neuroscience is to understand the representations formed by brain activity patterns and their connection to behavior. The classical approach is to investigate how individual neurons encode the stimuli and how their tuning determines the fidelity of the neural representation. Tuning analyses often use the Fisher information to characterize the sensitivity of neural responses to small changes of the stimulus. In recent decades, measurements of large populations of neurons have motivated a complementary approach, which focuses on the information available to linear decoders. The decodable information is captured by the geometry of the representational patterns in the multivariate response space. Here we review neural tuning and representational geometry with the goal of clarifying the relationship between them. The tuning induces the geometry, but different sets of tuned neurons can induce the same geometry. The geometry determines the Fisher information, the mutual information, and the behavioral performance of an ideal observer in a range of psychophysical tasks. We argue that future studies can benefit from considering both tuning and geometry to understand neural codes and reveal the connections between stimulus, brain activity, and behavior."
"14"	"Text-Guided Visual Representation Learning for Robust Multimodal E-Commerce Recommendation"	"2026"	"frozen_sufficiency_expansion;lvpm_interface"	"arxiv"	"2605.17366v1"	""	""	""	""	"0"	"False"	"direct-vlm;frozen-interface;multi-query-hit"	"Jing Ma;Jungong Han;Pinghua Gong;Shijie Yang;Tianlu Zhang;Weijie Ding;Yanlong Zang;Yufei Guo"	"https://arxiv.org/abs/2605.17366v1;https://arxiv.org/pdf/2605.17366v1"	"Multimodal item embeddings are crucial for e-commerce item-to-item (I2I) retrieval, yet real-world product images often contain promotional overlays and background clutter that inject spurious visual cues and degrade retrieval robustness. This issue is particularly pronounced in MLRM-style pipelines, where a frozen vision encoder is connected to an LLM through a lightweight connector that must selectively aggregate visual tokens. We propose Text-Guided Q-Former (TGQ-Former), a text-guided visual representation learning framework that leverages structured metadata as semantic guidance for visual token extraction while preserving complementary visual evidence. Concretely, TGQ-Former employs a hybrid-query connector to disentangle metadata-anchored and exploratory visual streams, and introduces a lightweight reliability-aware dual-gated vector modulation module to adaptively calibrate their contributions under noisy inputs. Experiments on large-scale, real-world e-commerce datasets with full-pool retrieval show that TGQ-Former consistently outperforms strong connector baselines and end-to-end MLLMs. On average, it improves Hit Rate@100 (H@100) by 6.04%, demonstrating the effectiveness of text-guided visual encoding for robust multimodal retrieval."
"14"	"When Are Reasoning-Based Guardrails Not Efficient? ResponseGuard: A Fast Vision-Language Guard for Real-Time Moderation"	"2026"	"frozen_sufficiency;frozen_sufficiency_expansion"	"arxiv"	"2607.21401v1"	""	""	""	""	"0"	"False"	"direct-vlm;frozen-interface;multi-query-hit"	"Dongbin Na"	"https://arxiv.org/abs/2607.21401v1;https://arxiv.org/pdf/2607.21401v1"	"A vision-language AI assistant returns its answer as a stream of generated tokens. Therefore, a safety guard that watches that answer has to keep up with the stream and stop a harmful reply before a user reads it. Recent vision-language guardrails instead generate a chain of thought before they issue a verdict. They believe that step-by-step reasoning yields a safer guard. This design makes the guard heavy and slow, since the model must decode many tokens for harmfulness detection. We pose the question of whether a vision-language guard really needs to reason in order to screen a response. We answer with a guard that has no chain. ResponseGuard reads a harmful verdict from a single pooled representation of the request, the response, and the image in one forward pass. Across a standard multimodal guardrail benchmark, our 2B ResponseGuard outperforms a recent 3B reasoning-based vision-language guard on response harmfulness detection, without any reasoning and at about 150 times lower time cost. On request harmfulness the reasoning guard retains an overall lead, and the remaining gap on both tracks sits on the image-only cells. We observe that the gap may stem from the frozen vision encoders that both designs use rather than from the missing chain. We have also found the reasoning guard directs almost none of its verdict attention to the image. Based on a single-pass detection, ResponseGuard can screen an answer sentence by sentence as it streams and stop a harmful answer before it finishes. For guarding the response of a vision-language model, a calibrated single-pass label may provide a sufficient safety signal. We fully release all source code, trained models, and datasets at https://github.com/ndb796/ResponseGuard."
"12"	"Accelerating Multimodal Large Language Models with Prior-Corrected Token Reduction"	"2026"	"formal_identifiability"	"arxiv"	"2606.24156v1"	""	""	""	""	"0"	"False"	"direct-vlm;formal-identifiability"	"Jianwei Yin;Jingcai Guo;Taotao Cai;Yuxiang Cai;Zengjie Chen;Zhi Chen"	"https://arxiv.org/abs/2606.24156v1;https://arxiv.org/pdf/2606.24156v1"	"Visual token reduction has emerged as an effective strategy for accelerating Multimodal Large Language Models (MLLMs). Many existing methods prune tokens by ranking text-visual attention scores. However, we show that attention is often dominated by a model-induced prior: even without textual instruction, MLLMs tend to focus on certain task-agnostic regions. Consequently, the attention scores of instruction-conditioned tokens are suppressed, increasing the risk that these tokens are discarded during pruning. To address this issue, we propose Prior-Corrected Token Reduction (PriorTR), a training-free token reduction method that explicitly separates task-conditioned attention from the model-induced prior. PriorTR estimates the attention map of the prior, and contrasts it with the task-conditioned attention distribution to measure the additional usable information contributed by each visual token. Importantly, PriorTR computes both the model-induced prior and the task-conditioned posterior within a single forward pass by introducing a null token that serves as an instruction-agnostic probe in the attention block. This design avoids duplicated propagation. Extensive experiments across multiple multimodal benchmarks and MLLMs demonstrate that PriorTR consistently improves the trade-off between accuracy and efficiency over strong training-free baselines, particularly under aggressive token budgets."
