model_id,method,budget,mapping_root,mean_visual_increment_bits_per_token,visual_increment_population_sd,correct_margin_bits_per_token,no_pixel_margin_bits_per_token,correct_accuracy,no_pixel_accuracy,accuracy_gain
M2-low-seed-43101,M2,low,43101,-0.31806034833838376,2.687859866451066,-0.08753479021916755,0.23052555811921624,0.20989304812834225,0.29612299465240643,-0.08622994652406417
M3-low-seed-43101,M3,low,43101,-0.3645467244126965,2.191170079827217,-0.06918285816132289,0.2953638662513736,0.2266042780748663,0.3135026737967914,-0.08689839572192513
M2-low-seed-43102,M2,low,43102,-0.21338318221913108,2.4383985931058616,-0.06034362044905842,0.15303956177007266,0.2252673796791444,0.30080213903743314,-0.07553475935828877
M3-low-seed-43102,M3,low,43102,-0.11771738316729667,1.4339342609482064,-0.16944574473087004,-0.051728361563573355,0.21390374331550802,0.2052139037433155,0.008689839572192513
M2-low-seed-43103,M2,low,43103,-0.4725709961608542,3.0171453368146803,0.001370665232247609,0.4739416613931018,0.23729946524064172,0.27941176470588236,-0.042112299465240643
M3-low-seed-43103,M3,low,43103,0.12247308246002998,1.709542916216922,-0.09749380727739038,-0.21996688973742035,0.2286096256684492,0.20254010695187166,0.02606951871657754
M2-current-seed-43101,M2,current,43101,-0.1831912059515125,1.7306758226626533,0.08532649300004418,0.2685176989515567,0.2713903743315508,0.29545454545454547,-0.02406417112299465
M3-current-seed-43101,M3,current,43101,-0.38477479423924144,2.8465563473090185,-0.03865340472577387,0.34612138951346755,0.26336898395721925,0.2907754010695187,-0.027406417112299464
M2-current-seed-43102,M2,current,43102,-0.3362824283441558,2.464686913173644,0.012516124447140344,0.3487985527912961,0.25267379679144386,0.28609625668449196,-0.03342245989304813
M3-current-seed-43102,M3,current,43102,0.10153566499702076,1.7271243541755628,0.08300550534708191,-0.018530159649938833,0.2553475935828877,0.26136363636363635,-0.006016042780748663
M2-current-seed-43103,M2,current,43103,-0.13148233256403932,1.469781100268401,0.10528969727903582,0.23677202984307513,0.2840909090909091,0.2840909090909091,0.0
M3-current-seed-43103,M3,current,43103,-0.093572618887676,1.588496056878839,0.05662660219456819,0.15019922108224418,0.25735294117647056,0.2540106951871658,0.0033422459893048127
M2-high-seed-43101,M2,high,43101,-0.04332437524849221,1.4528781090837155,-0.03157848682970352,0.0117458884187887,0.23529411764705882,0.21122994652406418,0.02406417112299465
M3-high-seed-43101,M3,high,43101,-0.5820342689688429,4.379304232349066,-0.2519090118630327,0.3301252571058102,0.21657754010695188,0.29745989304812837,-0.08088235294117647
M2-high-seed-43102,M2,high,43102,-0.1445747829308405,1.8177612726781365,0.0376205937302668,0.1821953766611073,0.2660427807486631,0.29411764705882354,-0.02807486631016043
M3-high-seed-43102,M3,high,43102,-0.33589028944190985,2.632027184946488,0.08293079128304578,0.4188210807249556,0.2827540106951872,0.2967914438502674,-0.014037433155080214
M2-high-seed-43103,M2,high,43103,-0.18729141892600287,2.275738749690595,-0.049328593444616146,0.13796282548138672,0.23663101604278075,0.2907754010695187,-0.05414438502673797
M3-high-seed-43103,M3,high,43103,-0.296581824523035,2.1773899737543037,0.1480419499184533,0.4446237744414883,0.2934491978609626,0.29745989304812837,-0.004010695187165776
