config_id,structure,budget,seed,optimizer_step,selected_train_dataset_index,ghost_pool_index,squared_l2_gradient_difference,D_I_contribution,true_gradient_squared_l2,ghost_gradient_squared_l2,learning_rate
P-budget-2048-seed-43101,P,2048,43101,0,2054,16300,0.00010370720906394126,2.592680226598532e-07,0.0037467634028871544,0.003417699046622147,0.05
P-budget-2048-seed-43101,P,2048,43101,187,6586,16546,8.79462692182642e-05,2.1032749414002952e-07,0.0018154066251554468,0.0017878144899441395,0.048903429158328154
P-budget-2048-seed-43101,P,2048,43101,374,452,26866,8.60288236026463e-05,1.7983237361595693e-07,0.0019094777112513839,0.0020516151744232047,0.04572060264316195
P-budget-2048-seed-43101,P,2048,43101,562,870,12572,0.0008039680269575911,1.3338122205113467e-06,0.0017495361043984303,0.0027594630228122696,0.04073127053253614
P-budget-2048-seed-43101,P,2048,43101,749,3210,16304,0.00047241183096957684,5.614541118663361e-07,0.0019802419506049773,0.001501506282693299,0.034474402723583986
P-budget-2048-seed-43101,P,2048,43101,937,2451,13914,8.236571412112426e-05,6.228907130410022e-08,0.002177101265260717,0.002143712723864155,0.0275
P-budget-2048-seed-43101,P,2048,43101,1124,8330,22337,7.040705781946599e-05,2.976627235331822e-08,0.0014437841236940585,0.0015000818034422991,0.020561468436014144
P-budget-2048-seed-43101,P,2048,43101,1312,6311,13704,8.18067537124989e-05,1.6655580235538404e-08,0.0013659841761182179,0.0013439680910778407,0.014268729467463867
P-budget-2048-seed-43101,P,2048,43101,1499,8830,7087,5.675319150100222e-05,4.910222831478538e-09,0.0014665658097783307,0.0013395385949479532,0.009301552810889582
P-budget-2048-seed-43101,P,2048,43101,1687,2271,20113,5.871139927648983e-05,2.1821956231307815e-09,0.001463566844449815,0.0015900954476819606,0.006096570841671846
P-budget-2048-seed-43101,P,2048,43101,1874,666,23729,4.703617833001772e-05,1.1759044582504436e-09,0.0015257642589858733,0.0015357394420334458,0.005000000000000001
P-budget-2048-seed-43102,P,2048,43102,0,1932,8371,0.00029336112584132934,7.334028146033234e-07,0.0032502157737326343,0.0031900807662168518,0.05
P-budget-2048-seed-43102,P,2048,43102,187,5764,2697,5.176487064773028e-05,1.237980374221355e-07,0.0018074842123496637,0.0018722044715104857,0.048903429158328154
P-budget-2048-seed-43102,P,2048,43102,374,452,24874,6.47656390526663e-05,1.3538437597834397e-07,0.0018176578623751993,0.0018763138637041266,0.04572060264316195
P-budget-2048-seed-43102,P,2048,43102,562,870,10264,9.693135484667437e-05,1.6081264591388524e-07,0.001810546693377546,0.0016491088595103065,0.04073127053253614
P-budget-2048-seed-43102,P,2048,43102,749,22,23421,8.087845188242682e-05,9.61227818481466e-08,0.0019312157419335563,0.002006745010476152,0.034474402723583986
P-budget-2048-seed-43102,P,2048,43102,937,327,16960,8.976487686140899e-05,6.788468812644055e-08,0.0022950387983655673,0.002097183436717387,0.0275
P-budget-2048-seed-43102,P,2048,43102,1124,8330,27893,7.675708121723801e-05,3.2450897045244577e-08,0.0014925128984941693,0.0014701327186230628,0.020561468436014144
P-budget-2048-seed-43102,P,2048,43102,1312,9700,9898,0.00017835282403666497,3.631203581818301e-08,0.0014648767050857714,0.0017020603277160262,0.014268729467463867
P-budget-2048-seed-43102,P,2048,43102,1499,9568,17137,7.73571679815177e-05,6.692855896829363e-09,0.0014216592915090587,0.001500066115113441,0.009301552810889582
P-budget-2048-seed-43102,P,2048,43102,1687,5878,10596,5.4580823359628994e-05,2.0286696503578496e-09,0.0013755318052517396,0.001410409054642514,0.006096570841671846
P-budget-2048-seed-43102,P,2048,43102,1874,5595,12671,0.00011127306254365976,2.7818265635914955e-09,0.0014327767562463123,0.0014206059117896075,0.005000000000000001
P-budget-2048-seed-43103,P,2048,43103,0,7313,25257,6.349977095965187e-05,1.587494273991297e-07,0.0035194971605960745,0.003471308133157436,0.05
P-budget-2048-seed-43103,P,2048,43103,187,8718,20484,0.0001787067562872835,4.2738531798903704e-07,0.0018403738067718223,0.001563682274081657,0.048903429158328154
P-budget-2048-seed-43103,P,2048,43103,374,7640,6616,7.868310817116253e-05,1.644770846949719e-07,0.001863008026703028,0.0019315671452204697,0.04572060264316195
P-budget-2048-seed-43103,P,2048,43103,562,2823,211,0.00019086843735749426,3.1665768503348633e-07,0.001749396092236566,0.0015380702543552616,0.04073127053253614
P-budget-2048-seed-43103,P,2048,43103,749,6120,3959,9.649658392163474e-05,1.1468468880777431e-07,0.001980611709313962,0.002027996496508422,0.034474402723583986
P-budget-2048-seed-43103,P,2048,43103,937,3489,8787,7.762208397821269e-05,5.870170100852334e-08,0.0022617235144934966,0.0022243526109377854,0.0275
P-budget-2048-seed-43103,P,2048,43103,1124,4952,2099,3.2749929957276436e-05,1.3845818371789186e-08,0.0015416055446166865,0.0015055830076562415,0.020561468436014144
P-budget-2048-seed-43103,P,2048,43103,1312,2950,20692,6.901081795263053e-05,1.4050370701295261e-08,0.0015025109084945143,0.001524156312825653,0.014268729467463867
P-budget-2048-seed-43103,P,2048,43103,1499,6726,10674,8.617450063752585e-05,7.455721684201126e-09,0.0013732071895447007,0.001338069857638402,0.009301552810889582
P-budget-2048-seed-43103,P,2048,43103,1687,3233,27308,9.767701800456052e-05,3.6304765990370743e-09,0.0014234237228265556,0.0014378192840922566,0.006096570841671846
P-budget-2048-seed-43103,P,2048,43103,1874,8677,24826,0.00012486508401821084,3.1216271004552724e-09,0.0015348471147262899,0.0014297542491021886,0.005000000000000001
P-budget-8192-seed-43101,P,8192,43101,0,2054,16300,0.00041551923231963883,1.0387980807990974e-06,0.013857381069101393,0.012571354949614033,0.05
P-budget-8192-seed-43101,P,8192,43101,187,6586,16546,0.0003253387748145542,7.780624449629506e-07,0.007977491015481064,0.007890937813499477,0.048903429158328154
P-budget-8192-seed-43101,P,8192,43101,374,452,26866,0.0003038003339952411,6.350561693139804e-07,0.006128720306151081,0.00658563871820661,0.04572060264316195
P-budget-8192-seed-43101,P,8192,43101,562,870,12572,0.0004146947917433863,6.879937540587216e-07,0.005913370767757442,0.005806875315556681,0.04073127053253614
P-budget-8192-seed-43101,P,8192,43101,749,3210,16304,0.0003631156111509881,4.315572549170751e-07,0.004632421658470776,0.004456144456071343,0.034474402723583986
P-budget-8192-seed-43101,P,8192,43101,937,2451,13914,0.00045124691361309033,3.4125547841989957e-07,0.00553806286325198,0.00545746555826554,0.0275
P-budget-8192-seed-43101,P,8192,43101,1124,8330,22337,0.0003450396823296842,1.4587380122122075e-07,0.0040865492971988715,0.004227127089507121,0.020561468436014144
P-budget-8192-seed-43101,P,8192,43101,1312,6311,13704,0.0004891821152170905,9.959583530746809e-08,0.004176734966222284,0.004126687231291726,0.014268729467463867
P-budget-8192-seed-43101,P,8192,43101,1499,8830,7087,0.0003428937137215371,2.9666781679691523e-08,0.0037680067264318495,0.003820506293550352,0.009301552810889582
P-budget-8192-seed-43101,P,8192,43101,1687,2271,20113,0.0003695905159233348,1.3737005353941684e-08,0.004297270905681216,0.004563177039472066,0.006096570841671846
P-budget-8192-seed-43101,P,8192,43101,1874,666,23729,0.00033690094640803636,8.422523660200914e-09,0.004399235409891844,0.004324665117337645,0.005000000000000001
P-budget-8192-seed-43102,P,8192,43102,0,1932,8371,0.0011139221751363948,2.7848054378409874e-06,0.014073206955799833,0.013901759040891193,0.05
P-budget-8192-seed-43102,P,8192,43102,187,5764,2697,0.00019479103536923503,4.65851601373497e-07,0.008105426350084599,0.008468686832202366,0.048903429158328154
P-budget-8192-seed-43102,P,8192,43102,374,452,24874,0.00028408519608547067,5.938441673591973e-07,0.006427047726901947,0.006710523316542094,0.04572060264316195
P-budget-8192-seed-43102,P,8192,43102,562,870,10264,0.00040611604202922535,6.737612960233479e-07,0.006278155229665572,0.005472023654874647,0.04073127053253614
P-budget-8192-seed-43102,P,8192,43102,749,22,23421,0.0004258486204946621,5.061144605938807e-07,0.005097313129226677,0.005188185034967319,0.034474402723583986
P-budget-8192-seed-43102,P,8192,43102,937,327,16960,0.0003450052799394143,2.609102429541821e-07,0.005768232520040328,0.005492239510658692,0.0275
P-budget-8192-seed-43102,P,8192,43102,1124,8330,27893,0.00031652666456238876,1.3381923909688692e-07,0.004380465361350616,0.0045118337704934675,0.020561468436014144
P-budget-8192-seed-43102,P,8192,43102,1312,9700,9898,0.0003906001392977032,7.952487618502578e-08,0.0041151593077302095,0.003979948389769561,0.014268729467463867
P-budget-8192-seed-43102,P,8192,43102,1499,9568,17137,0.0003267154934718519,2.826706010735863e-08,0.004219973276804012,0.004178004194159257,0.009301552810889582
P-budget-8192-seed-43102,P,8192,43102,1687,5878,10596,0.00033868276868531666,1.2588220763984827e-08,0.004497073253332928,0.004509796786805964,0.006096570841671846
P-budget-8192-seed-43102,P,8192,43102,1874,5595,12671,0.0005018227625441796,1.2545569063604495e-08,0.004336596910206936,0.004523982269233784,0.005000000000000001
P-budget-8192-seed-43103,P,8192,43103,0,7313,25257,0.00026335286611356423,6.583821652839107e-07,0.014135024204733782,0.0139022699004272,0.05
P-budget-8192-seed-43103,P,8192,43103,187,8718,20484,0.0003963637570905121,9.479219134341827e-07,0.008428018252743641,0.007584764438433922,0.048903429158328154
P-budget-8192-seed-43103,P,8192,43103,374,7640,6616,0.00021811128766557886,4.559340571074286e-07,0.006354135050059995,0.006612355652578117,0.04572060264316195
P-budget-8192-seed-43103,P,8192,43103,562,2823,211,0.0005684495657760635,9.430785207288811e-07,0.005780259120456321,0.005349031261175696,0.04073127053253614
P-budget-8192-seed-43103,P,8192,43103,749,6120,3959,0.0004923431104657539,5.851421274795742e-07,0.004569762727214766,0.005055646235177846,0.034474402723583986
P-budget-8192-seed-43103,P,8192,43103,937,3489,8787,0.00044584846520479005,3.3717290181112244e-07,0.005554655629111949,0.005771258482809571,0.0275
P-budget-8192-seed-43103,P,8192,43103,1124,4952,2099,0.00016583906210598798,7.011244103003669e-08,0.004055694580870295,0.004033713573562636,0.020561468436014144
P-budget-8192-seed-43103,P,8192,43103,1312,2950,20692,0.0003488741220820657,7.10295992536503e-08,0.0042281372392380945,0.004160673746127941,0.014268729467463867
P-budget-8192-seed-43103,P,8192,43103,1499,6726,10674,0.0004064260813265719,3.51635312668336e-08,0.003975268014073663,0.003914553518598041,0.009301552810889582
P-budget-8192-seed-43103,P,8192,43103,1687,3233,27308,0.0005810215677968245,2.159551190765997e-08,0.0043799169504836755,0.004285184896616556,0.006096570841671846
P-budget-8192-seed-43103,P,8192,43103,1874,8677,24826,0.0004786610716962514,1.196652679240629e-08,0.004854725331369991,0.004950675502186641,0.005000000000000001
S-budget-2048-seed-43101,S,2048,43101,0,2054,16300,0.00010733861563494429,2.683465390873608e-07,0.0034542144276201725,0.0031696720980107784,0.05
S-budget-2048-seed-43101,S,2048,43101,187,6586,16546,9.16788267204538e-05,2.192540748028289e-07,0.00179116684012115,0.00174973183311522,0.048903429158328154
S-budget-2048-seed-43101,S,2048,43101,374,452,26866,8.387649722862989e-05,1.7533320758733194e-07,0.0019248941680416465,0.0020664138719439507,0.04572060264316195
S-budget-2048-seed-43101,S,2048,43101,562,870,12572,0.0005490726907737553,9.109315797974069e-07,0.0018684151582419872,0.0025047995150089264,0.04073127053253614
S-budget-2048-seed-43101,S,2048,43101,749,3210,16304,0.00044603311107493937,5.301034136414046e-07,0.0019253978971391916,0.0014499463140964508,0.034474402723583986
S-budget-2048-seed-43101,S,2048,43101,937,2451,13914,8.887357398634776e-05,6.72106403271755e-08,0.0021659350022673607,0.0021070465445518494,0.0275
S-budget-2048-seed-43101,S,2048,43101,1124,8330,22337,6.862798909423873e-05,2.901412838010785e-08,0.001448285998776555,0.001490886090323329,0.020561468436014144
S-budget-2048-seed-43101,S,2048,43101,1312,6311,13704,8.85998088051565e-05,1.803862343192067e-08,0.0014982674038037658,0.0014591787476092577,0.014268729467463867
S-budget-2048-seed-43101,S,2048,43101,1499,8830,7087,5.5230921134352684e-05,4.778517697153648e-09,0.0013936825562268496,0.0013097587507218122,0.009301552810889582
S-budget-2048-seed-43101,S,2048,43101,1687,2271,20113,5.7224991905968636e-05,2.126948572334642e-09,0.0014870187733322382,0.0016018805326893926,0.006096570841671846
S-budget-2048-seed-43101,S,2048,43101,1874,666,23729,5.970604615868069e-05,1.492651153967018e-09,0.001571501838043332,0.0015688642160966992,0.005000000000000001
S-budget-2048-seed-43102,S,2048,43102,0,1932,8371,0.0002638856240082532,6.597140600206332e-07,0.0035363088827580214,0.003450507763773203,0.05
S-budget-2048-seed-43102,S,2048,43102,187,5764,2697,5.06255601067096e-05,1.2107332455744885e-07,0.001697296160273254,0.0017639361321926117,0.048903429158328154
S-budget-2048-seed-43102,S,2048,43102,374,452,24874,6.653789023403078e-05,1.39089042893941e-07,0.0017877793870866299,0.0018588474486023188,0.04572060264316195
S-budget-2048-seed-43102,S,2048,43102,562,870,10264,9.705906268209219e-05,1.6102451786130577e-07,0.001753282849676907,0.001598268048837781,0.04073127053253614
S-budget-2048-seed-43102,S,2048,43102,749,22,23421,7.388888479908928e-05,8.781579010526162e-08,0.0018538092263042927,0.00194709119386971,0.034474402723583986
