structure,budget,seed,empirical_risk,actual_mms2_bits,D_I,diagnosis_step_count,new_image_development_real_visual_performance,error,checkpoint_sha256,MMS2_sha256,manifest_sha256,diagnosis_sha256
P,2048,43101,2.940390594704946,5608,2.661673469599339e-06,11,-0.00039244279525945443,0.5001962213976298,f64939d078769d99470975a92639b100b93d6c2aafd4b602b0c443695dcf3fbf,30595a041f597165048c7d05f38b5cc88866a03b5f5a60fe01c73fbdecaf565d,3ffdce245e247d1ed1dbd88b0f3e29e01f5b6b0dbd7eb51cfb7829f0c84844de,c2cda27decbc0ced70979ae61e9ee443be277b09daab53be577529ca1117fa36
P,2048,43102,2.9406851342837017,5952,1.3976716288664816e-06,11,-0.0006304391128221891,0.5003152195564111,0f3c5ffb65d83dc5e083f97933037756d7098049aab5c437c26381dfa3f61134,ba4a7a33d759358ba195d4f050d8eaa35e39a3be726a27ae678f4ee8995613a3,4b03b797c99f78b371d8c8cd57b7d2caf21f4f53ce0e80d29062c30386b25616,d257b436d78f7f8f1a39d1ff4cd36668e01d7d5f758e483101f3ba4c3f06cc1d
P,2048,43103,2.9391956518173217,5784,1.2827599193897006e-06,11,-0.0006694610356716386,0.5003347305178358,466fa12c7107e3e66a62e93c8ecaca8de32caba9f673b71fed9138708d7d19c1,bc3ecdb6bae5921ebd44593794253a0dbcfab36e356d8ac658f955b2f20ceb37,2340d37fc96f1d4ef01930ffc5ee0999d99a8128e5df1d64f280f3d5ec6ba541,44a981f878bc580c014e37e6cabfb90f93a6157147e5eee654d36c4cc8e9f4be
P,8192,43101,2.862929412015279,13960,4.210019129694247e-06,11,-0.0005209579921711761,0.5002604789960856,ff5604bc75e32890fb76f255095408cef19ceaa5c49050709f08350a0bd648c4,df5a3fbe28df5a7dced77fedb8b70afe5931e79debbca245254efec08b9ed1bc,cb58255221125d97be6ebaa96a0bd62223487ed4a651446f195141b93f6a0455,c736d202f64cc21db41922ecc054244f0b5928cadce88f6a586ab0c5fbcf756a
P,8192,43102,2.863438958835602,16984,5.552032171361953e-06,11,-0.0009959024337340948,0.500497951216867,b8370285bc3f0d15e419055c80277c4bf3b82f7fca08e9055b888b566ac224a2,d2d2d59da578967831358d769253d222872d56af1c2b0c637e83fd2008e2394f,5a58314aa86fa4f921886d912d2bee35264732ee298d4e1e2203dcf31b6cac6f,ed1ea58c46e5d1db94c7b7809440f4f2be92b693db5a245b1b56a8c4a7f68ce2
P,8192,43103,2.864031575489044,14336,4.137499296095686e-06,11,-0.001109149869584653,0.5005545749347923,0f97217c51ac493a099b69a2b162fb18ef49df40e1d7f2c9faad4956e15e1536,e94e6466e2c29aa7bb2ba4f8ccee430019bcfac0d288f4e2db96a274029d93ef,f7bd309c5a15f4635acc25f4e93b11662615da207ef8d507435fe2b5b6b5d7ed,f9614e01ac6da690d0457e61f32bc5662720186d8612bd3d33c6fee6d14236bc
S,2048,43101,2.941012590503693,4504,2.2266303244789924e-06,11,-0.0007509014228982867,0.5003754507114492,652c0ef382f99423f2ba5c7ebe81a8b58f527877c6252d11ecb2a55eff315d2e,c950eb129e8fd78005ccab3ca79817ecff39e9d512a10ff7e8a004b01ae406bb,4eaff48a7f8054be77cf206dee09663e015f80c9f3d44f8e1421174cefe0a7e8,6b29b3ade25eaff3f8c666ea35daada88e923cf2f6b2a9df57baae2c98e530f7
S,2048,43102,2.942642572752635,4728,1.3074474616192553e-06,11,-0.00032822102495724576,0.5001641105124787,5ee969ece4d313cd16f74037f22c0c7550fcdda047dcf0736b593574d932f76a,f56ef75c52aaff70e22c65d0ff2638d8a74357b603c42cce95a32895977da73a,a8e8e8a326f0b5ac65a2ec22d3466eccc1595eac9efdf2eba16ee33602d805f9,b224070b4c16d2fe14ab245662d593a8f39a262be9d1da46be034650ab364ce5
S,2048,43103,2.9421140308062235,5600,1.2972115932103332e-06,11,-0.000921699210970642,0.5004608496054853,31fd8d78b70569a561471bc690e55e72aa550d768bdedf8bf2d8eb82324e3efb,449f6089a4ef8e4eb9bc2387853c5c93dbdfbfdf603d9d0d99aaa6f370fbfabc,c4c856f240de34faa09f1e85293135ada1246ad91488ec1f449aeec070fd0826,767ce9aecc91f19b6fd6beea046ea1eb1c226df9e6308a40edb5af1079bc1b25
S,8192,43101,2.863800653743744,14512,4.207628172765048e-06,11,-0.0008631878393458799,0.500431593919673,1b525ebafb1e7d385b24952d2dbdbd7a43475a98e8fa02d5c2397771fe80e282,f267934692144ef061fd3b15431564d865d73481f1a7f75ed789c3b195022d3c,7e6703a7ac9e20dc5766000aab43096718d7ed62c81d1c571e669b50e4480246,a39691522a458855c063d9288918cd9a425fa8ed0c198801edb251615055a657
S,8192,43102,2.8633109686215716,8368,5.5219507600456796e-06,11,-0.0010062570020996596,0.5005031285010498,9fd6994a282a6e1db987de893d80943284ba02a152bef60b00ed58e832aea9e2,ac9ba628f9ee8a596876afa12739ec5719501e8df3772af3dc07b6c2aa47f12a,9956e6ed1bc290ce8e8cd19f791c1c6e6db93cad673d8700587de0878f3e9f35,29f2c0956e44a6b3c1a7894eb6b31826ee90ad48553d0b04ba1d45008db294ee
S,8192,43103,2.862071911684672,12472,4.220613542949783e-06,11,-0.0009261116184453442,0.5004630558092227,07aecde1588251d77179c7241bf7f24fc17a713b3637b6a9419cfbb57866beee,4657f34b3afbea6764a70b3322b8728cd0a8f5921cce02753fb740ff2854c05f,2260698ef4bd30ef501b5712c9ce6ede27b4c7846b4ff250348b460a19db7e64,853216fa6ffcbe6001a3389bc7ea95084b268dcdaa504eb44c4169590f96a56f
